"","name","pvalue","estimate","expression","BH"
"15425","GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX",1,0,"UP",1
"15426","GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX",1,0,"Down",1
"15427","GO_RNA_POLYMERASE_I_COMPLEX",1,0,"UP",1
"15428","GO_RNA_POLYMERASE_I_COMPLEX",0.430375462624135,1.99220462958946,"Down",0.977529052767026
"15429","GO_MITOCHONDRION",0.00103293812174724,0.612477653424962,"UP",0.0183870146420553
"15430","GO_MITOCHONDRION",1.91987224588835e-16,2.38248838448601,"Down",4.69500186607601e-14
"15431","GO_MITOCHONDRIAL_ENVELOPE",0.00412488841800751,0.515851896370487,"UP",0.054618450181523
"15432","GO_MITOCHONDRIAL_ENVELOPE",1.0313181278106e-07,2.21847062895603,"Down",6.08774051192108e-06
"15433","GO_MITOCHONDRIAL_OUTER_MEMBRANE_TRANSLOCASE_COMPLEX",1,0,"UP",1
"15434","GO_MITOCHONDRIAL_OUTER_MEMBRANE_TRANSLOCASE_COMPLEX",1,0,"Down",1
"15435","GO_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX",1,0,"UP",1
"15436","GO_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX",1,0,"Down",1
"15437","GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_IV",1,0,"UP",1
"15438","GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_IV",0.0725411657092204,5.9819376746713,"Down",0.390327308329518
"15439","GO_MITOCHONDRIAL_MATRIX",2.5894179706119e-08,0.0805674183088666,"UP",1.73978814869234e-06
"15440","GO_MITOCHONDRIAL_MATRIX",1.08177746034114e-14,3.51420161855392,"Down",2.15746335828424e-12
"15441","GO_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT",0.169226515246613,0,"UP",0.659129896889633
"15442","GO_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT",0.297090275457947,1.77306364833366,"Down",0.856176829188713
"15443","GO_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT",0.392916982807171,0,"UP",0.951028775912897
"15444","GO_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT",0.00996951457147657,4.61249945705873,"Down",0.104618881829413
"15445","GO_SECONDARY_LYSOSOME",0.047427798763358,4.49011512897628,"UP",0.304285995524649
"15446","GO_SECONDARY_LYSOSOME",0.58708252062601,1.19497616424295,"Down",1
"15447","GO_ENDOSOME",1.08543664159626e-05,1.84122528424524,"UP",0.000406880282694715
"15448","GO_ENDOSOME",0.571717224980365,1.09259914539612,"Down",1
"15449","GO_EARLY_ENDOSOME",0.00154270762950599,1.92812151765929,"UP",0.025827465464802
"15450","GO_EARLY_ENDOSOME",0.314220832876919,0.725640186499911,"Down",0.878781905502177
"15451","GO_LATE_ENDOSOME",0.440577273287871,1.2331830823838,"UP",0.994105706050027
"15452","GO_LATE_ENDOSOME",0.877335847605691,1.03943730986697,"Down",1
"15453","GO_MULTIVESICULAR_BODY",0.330821637362069,1.59536361854783,"UP",0.878781905502177
"15454","GO_MULTIVESICULAR_BODY",0.744216883408133,1.15671361428002,"Down",1
"15455","GO_VACUOLE",4.84862917227742e-07,2.07503407688662,"UP",2.55386001171597e-05
"15456","GO_VACUOLE",1,0.995500497794325,"Down",1
"15457","GO_VACUOLAR_MEMBRANE",0.0556734429536126,1.50081951541816,"UP",0.331394358359421
"15458","GO_VACUOLAR_MEMBRANE",0.720679573523549,1.08320651940116,"Down",1
"15459","GO_VACUOLAR_LUMEN",1.5781096826046e-05,3.17667468849643,"UP",0.000565750944154689
"15460","GO_VACUOLAR_LUMEN",0.144465259780014,0.466434740607234,"Down",0.602828191993468
"15461","GO_AUTOPHAGOSOME",0.105788402607696,1.9515920545273,"UP",0.496482834445349
"15462","GO_AUTOPHAGOSOME",0.433038746926274,0.496872392586612,"Down",0.981991989277697
"15463","GO_ENDOPLASMIC_RETICULUM",4.53975066755897e-13,2.25648848532221,"UP",7.11874490175545e-11
"15464","GO_ENDOPLASMIC_RETICULUM",0.00176873517867126,1.46856456657662,"Down",0.0284076294294488
"15465","GO_SEC61_TRANSLOCON_COMPLEX",1,0,"UP",1
"15466","GO_SEC61_TRANSLOCON_COMPLEX",1,0,"Down",1
"15467","GO_SIGNAL_RECOGNITION_PARTICLE_RECEPTOR_COMPLEX",1,0,"UP",1
